Enter Number of Loans: 
Enter Loan 1 name: 
Enter Loan 1 Amount: 
Enter the Interest Rate for loan 1 as a percentage: 
Enter the number of years loan 1 will be paid: 

cars20k5yr
+-------------------------------------------------------------------------+
| Month |  Balance  |  Payment  |  Interest  | Towards Loan | New Balance |
|     54|    2632.44|     387.00|       13.16|        373.84|      2258.61| 
|     55|    2258.61|     387.00|       11.29|        375.71|      1882.90| 
|     56|    1882.90|     387.00|        9.41|        377.59|      1505.31| 
|     57|    1505.31|     387.00|        7.53|        379.47|      1125.84| 
|     58|    1125.84|     387.00|        5.63|        381.37|       744.47| 
|     59|     744.47|     387.00|        3.72|        383.28|       361.19| 
|     60|     361.19|     363.00|        1.81|        361.19|         0.00| 
+-------------------------------------------------------------------------+
Total Interest Paid in loan cars20k5yr: $3196.00
Total paid over loan cars20k5yr's period: $23196.00
View report separately here: C:/Users/12589/OneDrive/Desktop/Lab 1 output folder/cars20k5yr.txt
Enter Loan 2 name: 
Enter Loan 2 Amount: 
Enter the Interest Rate for loan 2 as a percentage: 
Enter the number of years loan 2 will be paid: 

house250k20year
+-------------------------------------------------------------------------+
| Month |  Balance  |  Payment  |  Interest  | Towards Loan | New Balance |
+-------+-----------+-----------+------------+--------------+-------------+
|      1|  250000.00|    2053.00|     1614.58|        438.42|    249561.58| 
|      2|  249561.58|    2053.00|     1611.75|        441.25|    249120.33| 
|      3|  249120.33|    2053.00|     1608.90|        444.10|    248676.23| 
|      4|  248676.23|    2053.00|     1606.03|        446.97|    248229.27| 
|      5|  248229.27|    2053.00|     1603.15|        449.85|    247779.41| 
|      6|  247779.41|    2053.00|     1600.24|        452.76|    247326.64| 
|      7|  247326.64|    2053.00|     1597.32|        455.68|    246870.95| 
|      8|  246870.95|    2053.00|     1594.37|        458.63|    246412.33| 
|      9|  246412.33|    2053.00|     1591.41|        461.59|    245950.73| 
|     10|  245950.73|    2053.00|     1588.43|        464.57|    245486.17| 
|     11|  245486.17|    2053.00|     1585.43|        467.57|    245018.61| 
|     12|  245018.61|    2053.00|     1582.41|        470.59|    244548.02| 
|     13|  244548.02|    2053.00|     1579.37|        473.63|    244074.39| 
|     14|  244074.39|    2053.00|     1576.31|        476.69|    243597.70| 
|     15|  243597.70|    2053.00|     1573.24|        479.76|    243117.94| 
|     16|  243117.94|    2053.00|     1570.14|        482.86|    242635.08| 
|     17|  242635.08|    2053.00|     1567.02|        485.98|    242149.09| 
|     18|  242149.09|    2053.00|     1563.88|        489.12|    241659.97| 
|     19|  241659.97|    2053.00|     1560.72|        492.28|    241167.69| 
|     20|  241167.69|    2053.00|     1557.54|        495.46|    240672.23| 
|     21|  240672.23|    2053.00|     1554.34|        498.66|    240173.58| 
|     22|  240173.58|    2053.00|     1551.12|        501.88|    239671.70| 
|     23|  239671.70|    2053.00|     1547.88|        505.12|    239166.58| 
|     24|  239166.58|    2053.00|     1544.62|        508.38|    238658.20| 
|     25|  238658.20|    2053.00|     1541.33|        511.67|    238146.53| 
|     26|  238146.53|    2053.00|     1538.03|        514.97|    237631.56| 
|     27|  237631.56|    2053.00|     1534.70|        518.30|    237113.27| 
|     28|  237113.27|    2053.00|     1531.36|        521.64|    236591.63| 
|     29|  236591.63|    2053.00|     1527.99|        525.01|    236066.61| 
|     30|  236066.61|    2053.00|     1524.60|        528.40|    235538.20| 
|     31|  235538.20|    2053.00|     1521.18|        531.82|    235006.39| 
|     32|  235006.39|    2053.00|     1517.75|        535.25|    234471.14| 
|     33|  234471.14|    2053.00|     1514.29|        538.71|    233932.44| 
|     34|  233932.44|    2053.00|     1510.81|        542.19|    233390.25| 
|     35|  233390.25|    2053.00|     1507.31|        545.69|    232844.56| 
|     36|  232844.56|    2053.00|     1503.79|        549.21|    232295.34| 
|     37|  232295.34|    2053.00|     1500.24|        552.76|    231742.58| 
|     38|  231742.58|    2053.00|     1496.67|        556.33|    231186.25| 
|     39|  231186.25|    2053.00|     1493.08|        559.92|    230626.33| 
|     40|  230626.33|    2053.00|     1489.46|        563.54|    230062.80| 
|     41|  230062.80|    2053.00|     1485.82|        567.18|    229495.63| 
|     42|  229495.63|    2053.00|     1482.16|        570.84|    228924.78| 
|     43|  228924.78|    2053.00|     1478.47|        574.53|    228350.25| 
|     44|  228350.25|    2053.00|     1474.76|        578.24|    227772.02| 
|     45|  227772.02|    2053.00|     1471.03|        581.97|    227190.05| 
|     46|  227190.05|    2053.00|     1467.27|        585.73|    226604.31| 
|     47|  226604.31|    2053.00|     1463.49|        589.51|    226014.80| 
|     48|  226014.80|    2053.00|     1459.68|        593.32|    225421.47| 
|     49|  225421.47|    2053.00|     1455.85|        597.15|    224824.31| 
|     50|  224824.31|    2053.00|     1451.99|        601.01|    224223.30| 
|     51|  224223.30|    2053.00|     1448.11|        604.89|    223618.41| 
|     52|  223618.41|    2053.00|     1444.20|        608.80|    223009.61| 
|     53|  223009.61|    2053.00|     1440.27|        612.73|    222396.88| 
|     54|  222396.88|    2053.00|     1436.31|        616.69|    221780.19| 
|     55|  221780.19|    2053.00|     1432.33|        620.67|    221159.52| 
|     56|  221159.52|    2053.00|     1428.32|        624.68|    220534.84| 
|     57|  220534.84|    2053.00|     1424.29|        628.71|    219906.13| 
|     58|  219906.13|    2053.00|     1420.23|        632.77|    219273.36| 
|     59|  219273.36|    2053.00|     1416.14|        636.86|    218636.50| 
|     60|  218636.50|    2053.00|     1412.03|        640.97|    217995.53| 
|     61|  217995.53|    2053.00|     1407.89|        645.11|    217350.42| 
|     62|  217350.42|    2053.00|     1403.72|        649.28|    216701.14| 
|     63|  216701.14|    2053.00|     1399.53|        653.47|    216047.67| 
|     64|  216047.67|    2053.00|     1395.31|        657.69|    215389.98| 
|     65|  215389.98|    2053.00|     1391.06|        661.94|    214728.05| 
|     66|  214728.05|    2053.00|     1386.79|        666.21|    214061.83| 
|     67|  214061.83|    2053.00|     1382.48|        670.52|    213391.31| 
|     68|  213391.31|    2053.00|     1378.15|        674.85|    212716.47| 
|     69|  212716.47|    2053.00|     1373.79|        679.21|    212037.27| 
|     70|  212037.27|    2053.00|     1369.41|        683.59|    211353.67| 
|     71|  211353.67|    2053.00|     1364.99|        688.01|    210665.67| 
|     72|  210665.67|    2053.00|     1360.55|        692.45|    209973.22| 
|     73|  209973.22|    2053.00|     1356.08|        696.92|    209276.30| 
|     74|  209276.30|    2053.00|     1351.58|        701.42|    208574.88| 
|     75|  208574.88|    2053.00|     1347.05|        705.95|    207868.92| 
|     76|  207868.92|    2053.00|     1342.49|        710.51|    207158.41| 
|     77|  207158.41|    2053.00|     1337.90|        715.10|    206443.30| 
|     78|  206443.30|    2053.00|     1333.28|        719.72|    205723.58| 
|     79|  205723.58|    2053.00|     1328.63|        724.37|    204999.20| 
|     80|  204999.20|    2053.00|     1323.95|        729.05|    204270.16| 
|     81|  204270.16|    2053.00|     1319.24|        733.76|    203536.41| 
|     82|  203536.41|    2053.00|     1314.51|        738.49|    202797.91| 
|     83|  202797.91|    2053.00|     1309.74|        743.26|    202054.64| 
|     84|  202054.64|    2053.00|     1304.94|        748.06|    201306.58| 
|     85|  201306.58|    2053.00|     1300.10|        752.90|    200553.69| 
|     86|  200553.69|    2053.00|     1295.24|        757.76|    199795.94| 
|     87|  199795.94|    2053.00|     1290.35|        762.65|    199033.28| 
|     88|  199033.28|    2053.00|     1285.42|        767.58|    198265.70| 
|     89|  198265.70|    2053.00|     1280.47|        772.53|    197493.17| 
|     90|  197493.17|    2053.00|     1275.48|        777.52|    196715.66| 
|     91|  196715.66|    2053.00|     1270.46|        782.54|    195933.11| 
|     92|  195933.11|    2053.00|     1265.40|        787.60|    195145.52| 
|     93|  195145.52|    2053.00|     1260.31|        792.69|    194352.83| 
|     94|  194352.83|    2053.00|     1255.20|        797.80|    193555.03| 
|     95|  193555.03|    2053.00|     1250.04|        802.96|    192752.08| 
|     96|  192752.08|    2053.00|     1244.86|        808.14|    191943.94| 
|     97|  191943.94|    2053.00|     1239.64|        813.36|    191130.58| 
|     98|  191130.58|    2053.00|     1234.39|        818.61|    190311.97| 
|     99|  190311.97|    2053.00|     1229.10|        823.90|    189488.06| 
|    100|  189488.06|    2053.00|     1223.78|        829.22|    188658.84| 
|    101|  188658.84|    2053.00|     1218.42|        834.58|    187824.27| 
|    102|  187824.27|    2053.00|     1213.03|        839.97|    186984.30| 
|    103|  186984.30|    2053.00|     1207.61|        845.39|    186138.91| 
|    104|  186138.91|    2053.00|     1202.15|        850.85|    185288.05| 
|    105|  185288.05|    2053.00|     1196.65|        856.35|    184431.70| 
|    106|  184431.70|    2053.00|     1191.12|        861.88|    183569.83| 
|    107|  183569.83|    2053.00|     1185.56|        867.44|    182702.39| 
|    108|  182702.39|    2053.00|     1179.95|        873.05|    181829.34| 
|    109|  181829.34|    2053.00|     1174.31|        878.69|    180950.66| 
|    110|  180950.66|    2053.00|     1168.64|        884.36|    180066.30| 
|    111|  180066.30|    2053.00|     1162.93|        890.07|    179176.22| 
|    112|  179176.22|    2053.00|     1157.18|        895.82|    178280.41| 
|    113|  178280.41|    2053.00|     1151.39|        901.61|    177378.80| 
|    114|  177378.80|    2053.00|     1145.57|        907.43|    176471.38| 
|    115|  176471.38|    2053.00|     1139.71|        913.29|    175558.09| 
|    116|  175558.09|    2053.00|     1133.81|        919.19|    174638.91| 
|    117|  174638.91|    2053.00|     1127.88|        925.12|    173713.78| 
|    118|  173713.78|    2053.00|     1121.90|        931.10|    172782.69| 
|    119|  172782.69|    2053.00|     1115.89|        937.11|    171845.58| 
|    120|  171845.58|    2053.00|     1109.84|        943.16|    170902.42| 
|    121|  170902.42|    2053.00|     1103.74|        949.26|    169953.17| 
|    122|  169953.17|    2053.00|     1097.61|        955.39|    168997.78| 
|    123|  168997.78|    2053.00|     1091.44|        961.56|    168036.22| 
|    124|  168036.22|    2053.00|     1085.23|        967.77|    167068.45| 
|    125|  167068.45|    2053.00|     1078.98|        974.02|    166094.44| 
|    126|  166094.44|    2053.00|     1072.69|        980.31|    165114.13| 
|    127|  165114.13|    2053.00|     1066.36|        986.64|    164127.48| 
|    128|  164127.48|    2053.00|     1059.99|        993.01|    163134.47| 
|    129|  163134.47|    2053.00|     1053.58|        999.42|    162135.05| 
|    130|  162135.05|    2053.00|     1047.12|       1005.88|    161129.17| 
|    131|  161129.17|    2053.00|     1040.63|       1012.37|    160116.80| 
|    132|  160116.80|    2053.00|     1034.09|       1018.91|    159097.89| 
|    133|  159097.89|    2053.00|     1027.51|       1025.49|    158072.39| 
|    134|  158072.39|    2053.00|     1020.88|       1032.12|    157040.28| 
|    135|  157040.28|    2053.00|     1014.22|       1038.78|    156001.50| 
|    136|  156001.50|    2053.00|     1007.51|       1045.49|    154956.02| 
|    137|  154956.02|    2053.00|     1000.76|       1052.24|    153903.77| 
|    138|  153903.77|    2053.00|      993.96|       1059.04|    152844.73| 
|    139|  152844.73|    2053.00|      987.12|       1065.88|    151778.86| 
|    140|  151778.86|    2053.00|      980.24|       1072.76|    150706.09| 
|    141|  150706.09|    2053.00|      973.31|       1079.69|    149626.41| 
|    142|  149626.41|    2053.00|      966.34|       1086.66|    148539.75| 
|    143|  148539.75|    2053.00|      959.32|       1093.68|    147446.06| 
|    144|  147446.06|    2053.00|      952.26|       1100.74|    146345.31| 
|    145|  146345.31|    2053.00|      945.15|       1107.85|    145237.45| 
|    146|  145237.45|    2053.00|      937.99|       1115.01|    144122.44| 
|    147|  144122.44|    2053.00|      930.79|       1122.21|    143000.23| 
|    148|  143000.23|    2053.00|      923.54|       1129.46|    141870.78| 
|    149|  141870.78|    2053.00|      916.25|       1136.75|    140734.03| 
|    150|  140734.03|    2053.00|      908.91|       1144.09|    139589.94| 
|    151|  139589.94|    2053.00|      901.52|       1151.48|    138438.45| 
|    152|  138438.45|    2053.00|      894.08|       1158.92|    137279.53| 
|    153|  137279.53|    2053.00|      886.60|       1166.40|    136113.13| 
|    154|  136113.13|    2053.00|      879.06|       1173.94|    134939.19| 
|    155|  134939.19|    2053.00|      871.48|       1181.52|    133757.67| 
|    156|  133757.67|    2053.00|      863.85|       1189.15|    132568.53| 
|    157|  132568.53|    2053.00|      856.17|       1196.83|    131371.70| 
|    158|  131371.70|    2053.00|      848.44|       1204.56|    130167.15| 
|    159|  130167.15|    2053.00|      840.66|       1212.34|    128954.81| 
|    160|  128954.81|    2053.00|      832.83|       1220.17|    127734.65| 
|    161|  127734.65|    2053.00|      824.95|       1228.05|    126506.60| 
|    162|  126506.60|    2053.00|      817.02|       1235.98|    125270.63| 
|    163|  125270.63|    2053.00|      809.04|       1243.96|    124026.66| 
|    164|  124026.66|    2053.00|      801.01|       1251.99|    122774.67| 
|    165|  122774.67|    2053.00|      792.92|       1260.08|    121514.59| 
|    166|  121514.59|    2053.00|      784.78|       1268.22|    120246.38| 
|    167|  120246.38|    2053.00|      776.59|       1276.41|    118969.97| 
|    168|  118969.97|    2053.00|      768.35|       1284.65|    117685.31| 
|    169|  117685.31|    2053.00|      760.05|       1292.95|    116392.37| 
|    170|  116392.37|    2053.00|      751.70|       1301.30|    115091.07| 
|    171|  115091.07|    2053.00|      743.30|       1309.70|    113781.37| 
|    172|  113781.37|    2053.00|      734.84|       1318.16|    112463.20| 
|    173|  112463.20|    2053.00|      726.32|       1326.68|    111136.53| 
|    174|  111136.53|    2053.00|      717.76|       1335.24|    109801.29| 
|    175|  109801.29|    2053.00|      709.13|       1343.87|    108457.42| 
|    176|  108457.42|    2053.00|      700.45|       1352.55|    107104.88| 
|    177|  107104.88|    2053.00|      691.72|       1361.28|    105743.59| 
|    178|  105743.59|    2053.00|      682.93|       1370.07|    104373.52| 
|    179|  104373.52|    2053.00|      674.08|       1378.92|    102994.60| 
|    180|  102994.60|    2053.00|      665.17|       1387.83|    101606.77| 
|    181|  101606.77|    2053.00|      656.21|       1396.79|    100209.98| 
|    182|  100209.98|    2053.00|      647.19|       1405.81|     98804.17| 
|    183|   98804.17|    2053.00|      638.11|       1414.89|     97389.28| 
|    184|   97389.28|    2053.00|      628.97|       1424.03|     95965.25| 
|    185|   95965.25|    2053.00|      619.78|       1433.22|     94532.02| 
|    186|   94532.02|    2053.00|      610.52|       1442.48|     93089.54| 
|    187|   93089.54|    2053.00|      601.20|       1451.80|     91637.74| 
|    188|   91637.74|    2053.00|      591.83|       1461.17|     90176.57| 
|    189|   90176.57|    2053.00|      582.39|       1470.61|     88705.96| 
|    190|   88705.96|    2053.00|      572.89|       1480.11|     87225.85| 
|    191|   87225.85|    2053.00|      563.33|       1489.67|     85736.19| 
|    192|   85736.19|    2053.00|      553.71|       1499.29|     84236.90| 
|    193|   84236.90|    2053.00|      544.03|       1508.97|     82727.93| 
|    194|   82727.93|    2053.00|      534.28|       1518.72|     81209.21| 
|    195|   81209.21|    2053.00|      524.48|       1528.52|     79680.69| 
|    196|   79680.69|    2053.00|      514.60|       1538.40|     78142.29| 
|    197|   78142.29|    2053.00|      504.67|       1548.33|     76593.96| 
|    198|   76593.96|    2053.00|      494.67|       1558.33|     75035.63| 
|    199|   75035.63|    2053.00|      484.61|       1568.39|     73467.23| 
|    200|   73467.23|    2053.00|      474.48|       1578.52|     71888.71| 
|    201|   71888.71|    2053.00|      464.28|       1588.72|     70299.99| 
|    202|   70299.99|    2053.00|      454.02|       1598.98|     68701.02| 
|    203|   68701.02|    2053.00|      443.69|       1609.31|     67091.71| 
|    204|   67091.71|    2053.00|      433.30|       1619.70|     65472.01| 
|    205|   65472.01|    2053.00|      422.84|       1630.16|     63841.85| 
|    206|   63841.85|    2053.00|      412.31|       1640.69|     62201.16| 
|    207|   62201.16|    2053.00|      401.72|       1651.28|     60549.88| 
|    208|   60549.88|    2053.00|      391.05|       1661.95|     58887.93| 
|    209|   58887.93|    2053.00|      380.32|       1672.68|     57215.25| 
|    210|   57215.25|    2053.00|      369.52|       1683.48|     55531.76| 
|    211|   55531.76|    2053.00|      358.64|       1694.36|     53837.41| 
|    212|   53837.41|    2053.00|      347.70|       1705.30|     52132.11| 
|    213|   52132.11|    2053.00|      336.69|       1716.31|     50415.79| 
|    214|   50415.79|    2053.00|      325.60|       1727.40|     48688.39| 
|    215|   48688.39|    2053.00|      314.45|       1738.55|     46949.84| 
|    216|   46949.84|    2053.00|      303.22|       1749.78|     45200.06| 
|    217|   45200.06|    2053.00|      291.92|       1761.08|     43438.98| 
|    218|   43438.98|    2053.00|      280.54|       1772.46|     41666.52| 
|    219|   41666.52|    2053.00|      269.10|       1783.90|     39882.62| 
|    220|   39882.62|    2053.00|      257.58|       1795.42|     38087.19| 
|    221|   38087.19|    2053.00|      245.98|       1807.02|     36280.17| 
|    222|   36280.17|    2053.00|      234.31|       1818.69|     34461.48| 
|    223|   34461.48|    2053.00|      222.56|       1830.44|     32631.04| 
|    224|   32631.04|    2053.00|      210.74|       1842.26|     30788.79| 
|    225|   30788.79|    2053.00|      198.84|       1854.16|     28934.63| 
|    226|   28934.63|    2053.00|      186.87|       1866.13|     27068.50| 
|    227|   27068.50|    2053.00|      174.82|       1878.18|     25190.32| 
|    228|   25190.32|    2053.00|      162.69|       1890.31|     23300.00| 
|    229|   23300.00|    2053.00|      150.48|       1902.52|     21397.48| 
|    230|   21397.48|    2053.00|      138.19|       1914.81|     19482.67| 
|    231|   19482.67|    2053.00|      125.83|       1927.17|     17555.50| 
|    232|   17555.50|    2053.00|      113.38|       1939.62|     15615.88| 
|    233|   15615.88|    2053.00|      100.85|       1952.15|     13663.73| 
|    234|   13663.73|    2053.00|       88.24|       1964.76|     11698.98| 
|    235|   11698.98|    2053.00|       75.56|       1977.44|      9721.53| 
|    236|    9721.53|    2053.00|       62.78|       1990.22|      7731.32| 
|    237|    7731.32|    2053.00|       49.93|       2003.07|      5728.25| 
|    238|    5728.25|    2053.00|       36.99|       2016.01|      3712.24| 
|    239|    3712.24|    2053.00|       23.97|       2029.03|      1683.22| 
|    240|    1683.22|    1694.09|       10.87|       1683.22|         0.00| 
+-------------------------------------------------------------------------+
Total Interest Paid in loan house250k20year: $242361.08
Total paid over loan house250k20year's period: $492361.06
View report separately here: C:/Users/12589/OneDrive/Desktop/Lab 1 output folder/house250k20year.txt
Enter Loan 3 name: 
Enter Loan 3 Amount: 
Enter the Interest Rate for loan 3 as a percentage: 
Enter the number of years loan 3 will be paid: 

house250k30year
+-------------------------------------------------------------------------+
| Month |  Balance  |  Payment  |  Interest  | Towards Loan | New Balance |
+-------+-----------+-----------+------------+--------------+-------------+
|      1|  250000.00|    1792.00|     1614.58|        177.42|    249822.58| 
|      2|  249822.58|    1792.00|     1613.44|        178.56|    249644.02| 
|      3|  249644.02|    1792.00|     1612.28|        179.72|    249464.30| 
|      4|  249464.30|    1792.00|     1611.12|        180.88|    249283.42| 
|      5|  249283.42|    1792.00|     1609.96|        182.04|    249101.38| 
|      6|  249101.38|    1792.00|     1608.78|        183.22|    248918.16| 
|      7|  248918.16|    1792.00|     1607.60|        184.40|    248733.75| 
|      8|  248733.75|    1792.00|     1606.41|        185.59|    248548.16| 
|      9|  248548.16|    1792.00|     1605.21|        186.79|    248361.36| 
|     10|  248361.36|    1792.00|     1604.00|        188.00|    248173.36| 
|     11|  248173.36|    1792.00|     1602.79|        189.21|    247984.14| 
|     12|  247984.14|    1792.00|     1601.56|        190.44|    247793.70| 
|     13|  247793.70|    1792.00|     1600.33|        191.67|    247602.03| 
|     14|  247602.03|    1792.00|     1599.10|        192.90|    247409.13| 
|     15|  247409.13|    1792.00|     1597.85|        194.15|    247214.97| 
|     16|  247214.97|    1792.00|     1596.60|        195.40|    247019.56| 
|     17|  247019.56|    1792.00|     1595.33|        196.67|    246822.89| 
|     18|  246822.89|    1792.00|     1594.06|        197.94|    246624.95| 
|     19|  246624.95|    1792.00|     1592.79|        199.21|    246425.73| 
|     20|  246425.73|    1792.00|     1591.50|        200.50|    246225.23| 
|     21|  246225.23|    1792.00|     1590.20|        201.80|    246023.44| 
|     22|  246023.44|    1792.00|     1588.90|        203.10|    245820.34| 
|     23|  245820.34|    1792.00|     1587.59|        204.41|    245615.94| 
|     24|  245615.94|    1792.00|     1586.27|        205.73|    245410.20| 
|     25|  245410.20|    1792.00|     1584.94|        207.06|    245203.14| 
|     26|  245203.14|    1792.00|     1583.60|        208.40|    244994.75| 
|     27|  244994.75|    1792.00|     1582.26|        209.74|    244785.00| 
|     28|  244785.00|    1792.00|     1580.90|        211.10|    244573.91| 
|     29|  244573.91|    1792.00|     1579.54|        212.46|    244361.45| 
|     30|  244361.45|    1792.00|     1578.17|        213.83|    244147.63| 
|     31|  244147.63|    1792.00|     1576.79|        215.21|    243932.41| 
|     32|  243932.41|    1792.00|     1575.40|        216.60|    243715.80| 
|     33|  243715.80|    1792.00|     1574.00|        218.00|    243497.80| 
|     34|  243497.80|    1792.00|     1572.59|        219.41|    243278.39| 
|     35|  243278.39|    1792.00|     1571.17|        220.83|    243057.56| 
|     36|  243057.56|    1792.00|     1569.75|        222.25|    242835.31| 
|     37|  242835.31|    1792.00|     1568.31|        223.69|    242611.63| 
|     38|  242611.63|    1792.00|     1566.87|        225.13|    242386.48| 
|     39|  242386.48|    1792.00|     1565.41|        226.59|    242159.89| 
|     40|  242159.89|    1792.00|     1563.95|        228.05|    241931.84| 
|     41|  241931.84|    1792.00|     1562.48|        229.52|    241702.31| 
|     42|  241702.31|    1792.00|     1560.99|        231.01|    241471.31| 
|     43|  241471.31|    1792.00|     1559.50|        232.50|    241238.81| 
|     44|  241238.81|    1792.00|     1558.00|        234.00|    241004.81| 
|     45|  241004.81|    1792.00|     1556.49|        235.51|    240769.30| 
|     46|  240769.30|    1792.00|     1554.97|        237.03|    240532.27| 
|     47|  240532.27|    1792.00|     1553.44|        238.56|    240293.70| 
|     48|  240293.70|    1792.00|     1551.90|        240.10|    240053.59| 
|     49|  240053.59|    1792.00|     1550.35|        241.65|    239811.94| 
|     50|  239811.94|    1792.00|     1548.79|        243.21|    239568.72| 
|     51|  239568.72|    1792.00|     1547.21|        244.79|    239323.94| 
|     52|  239323.94|    1792.00|     1545.63|        246.37|    239077.58| 
|     53|  239077.58|    1792.00|     1544.04|        247.96|    238829.63| 
|     54|  238829.63|    1792.00|     1542.44|        249.56|    238580.06| 
|     55|  238580.06|    1792.00|     1540.83|        251.17|    238328.89| 
|     56|  238328.89|    1792.00|     1539.21|        252.79|    238076.09| 
|     57|  238076.09|    1792.00|     1537.57|        254.43|    237821.67| 
|     58|  237821.67|    1792.00|     1535.93|        256.07|    237565.61| 
|     59|  237565.61|    1792.00|     1534.28|        257.72|    237307.89| 
|     60|  237307.89|    1792.00|     1532.61|        259.39|    237048.50| 
|     61|  237048.50|    1792.00|     1530.94|        261.06|    236787.44| 
|     62|  236787.44|    1792.00|     1529.25|        262.75|    236524.69| 
|     63|  236524.69|    1792.00|     1527.56|        264.44|    236260.25| 
|     64|  236260.25|    1792.00|     1525.85|        266.15|    235994.09| 
|     65|  235994.09|    1792.00|     1524.13|        267.87|    235726.22| 
|     66|  235726.22|    1792.00|     1522.40|        269.60|    235456.63| 
|     67|  235456.63|    1792.00|     1520.66|        271.34|    235185.28| 
|     68|  235185.28|    1792.00|     1518.90|        273.10|    234912.19| 
|     69|  234912.19|    1792.00|     1517.14|        274.86|    234637.33| 
|     70|  234637.33|    1792.00|     1515.37|        276.63|    234360.69| 
|     71|  234360.69|    1792.00|     1513.58|        278.42|    234082.27| 
|     72|  234082.27|    1792.00|     1511.78|        280.22|    233802.05| 
|     73|  233802.05|    1792.00|     1509.97|        282.03|    233520.02| 
|     74|  233520.02|    1792.00|     1508.15|        283.85|    233236.17| 
|     75|  233236.17|    1792.00|     1506.32|        285.68|    232950.48| 
|     76|  232950.48|    1792.00|     1504.47|        287.53|    232662.95| 
|     77|  232662.95|    1792.00|     1502.61|        289.39|    232373.56| 
|     78|  232373.56|    1792.00|     1500.75|        291.25|    232082.31| 
|     79|  232082.31|    1792.00|     1498.86|        293.14|    231789.17| 
